timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
84454436,0.0,0.0,0,23,57904,65536,0,3,122
85459479,78.33984,77.882126,0,23,9031,65536,0,3,122
86461171,106.58496,53.091553,0,23,5879,65536,0,3,122
87462134,132.0332,43.886253,0,23,5726,65536,0,3,122
88463501,156.90527,39.129482,0,23,6046,65536,0,3,122
89464368,182.2041,36.362526,0,23,5711,65536,0,3,122
90465238,207.33984,34.489754,0,23,5878,65536,0,3,122
91466270,232.52441,33.15777,0,23,5878,65536,0,3,122
92468191,260.02246,32.44364,0,23,3927,65536,0,3,122
